ColorPallete,1
MarioPosition,500,500
World,999
-------------------- Custom Warp Zone Level
Sign,400,25
StairBlock,200,0
StairBlock,200,50
StairBlock,200,100
StairBlock,200,150
StairBlock,200,200
StairBlock,200,250
StairBlock,200,300
StairBlock,200,350
StairBlock,200,400
StairBlock,200,450
StairBlock,1050,0
StairBlock,1050,50
StairBlock,1050,100
StairBlock,1050,150
StairBlock,1050,200
StairBlock,1050,250
StairBlock,1050,300
StairBlock,1050,350
StairBlock,1050,400
StairBlock,1050,450
UpPlatform,1125,300
UpPlatform,1125,600
UpPlatform,25,300
UpPlatform,25,600
PipeDestination,800,525,1,50,500
Goomba,250,300
Goomba,350,300
Goomba,450,300
Goomba,550,300
Goomba,650,300
Goomba,750,300
Goomba,850,300
Goomba,950,300
BrickBlock,250,400
BrickBlock,300,400
BrickBlock,350,400
BrickBlock,400,400
BrickBlock,450,400
BrickBlock,500,400
BrickBlock,550,400
BrickBlock,600,400
BrickBlock,650,400
BrickBlock,700,400
BrickBlock,750,400
BrickBlock,800,400
BrickBlock,850,400
BrickBlock,900,400
BrickBlock,950,400
BrickBlock,1000,400
BaseBlock,200,700
BaseBlock,200,650
BaseBlock,200,600
BaseBlock,250,700
BaseBlock,250,650
BaseBlock,250,600
BaseBlock,300,700
BaseBlock,300,650
BaseBlock,300,600
BaseBlock,350,700
BaseBlock,350,650
BaseBlock,350,600
BaseBlock,400,700
BaseBlock,400,650
BaseBlock,400,600
BaseBlock,450,700
BaseBlock,450,650
BaseBlock,450,600
BaseBlock,500,700
BaseBlock,500,650
BaseBlock,500,600
BaseBlock,550,700
BaseBlock,550,650
BaseBlock,550,600
BaseBlock,600,700
BaseBlock,600,650
BaseBlock,600,600
BaseBlock,650,700
BaseBlock,650,650
BaseBlock,650,600
BaseBlock,700,700
BaseBlock,700,650
BaseBlock,700,600
BaseBlock,750,700
BaseBlock,750,650
BaseBlock,750,600
BaseBlock,800,700
BaseBlock,800,650
BaseBlock,800,600
BaseBlock,850,700
BaseBlock,850,650
BaseBlock,850,600
BaseBlock,900,700
BaseBlock,900,650
BaseBlock,900,600
BaseBlock,950,700
BaseBlock,950,650
BaseBlock,950,600
BaseBlock,1000,700
BaseBlock,1000,650
BaseBlock,1000,600
BaseBlock,1050,700
BaseBlock,1050,650
BaseBlock,1050,600
