ColorPallete,1
MarioPosition,50,0
World,2
-------------------- 1-2 Above Ground
Pipe,400,450
LargeCloud,200,100
LargeHill,1100,475
SmallCloud,1300,200
SmallCloud,1500,145
SmallBush,1800,550
SmallHill,1890,550
StairBlock,500,550  
StairBlock,550,550  
StairBlock,550,500  
StairBlock,600,550  
StairBlock,600,500  
StairBlock,600,450  
StairBlock,650,550  
StairBlock,650,500  
StairBlock,650,450  
StairBlock,650,400  
StairBlock,700,550  
StairBlock,700,500  
StairBlock,700,450  
StairBlock,700,400  
StairBlock,700,350  
StairBlock,750,550  
StairBlock,750,500  
StairBlock,750,450  
StairBlock,750,400  
StairBlock,750,350  
StairBlock,750,300  
StairBlock,800,550  
StairBlock,800,500  
StairBlock,800,450  
StairBlock,800,400  
StairBlock,800,350  
StairBlock,800,300  
StairBlock,800,250  
StairBlock,850,550  
StairBlock,850,500  
StairBlock,850,450  
StairBlock,850,400  
StairBlock,850,350  
StairBlock,850,300  
StairBlock,850,250  
StairBlock,850,200  
StairBlock,900,550  
StairBlock,900,500  
StairBlock,900,450  
StairBlock,900,400  
StairBlock,900,350  
StairBlock,900,300  
StairBlock,900,250  
StairBlock,900,200  
Flag,1200,100
Castle,1500,350
LPipe,2000,415
BaseBlock,0,700
BaseBlock,0,650
BaseBlock,0,600
BaseBlock,50,700
BaseBlock,50,650
BaseBlock,50,600
BaseBlock,100,700
BaseBlock,100,650
BaseBlock,100,600
BaseBlock,150,700
BaseBlock,150,650
BaseBlock,150,600
BaseBlock,200,700
BaseBlock,200,650
BaseBlock,200,600
BaseBlock,250,700
BaseBlock,250,650
BaseBlock,250,600
BaseBlock,300,700
BaseBlock,300,650
BaseBlock,300,600
BaseBlock,350,700
BaseBlock,350,650
BaseBlock,350,600
BaseBlock,400,700
BaseBlock,400,650
BaseBlock,400,600
BaseBlock,450,700
BaseBlock,450,650
BaseBlock,450,600
BaseBlock,500,700
BaseBlock,500,650
BaseBlock,500,600
BaseBlock,550,700
BaseBlock,550,650
BaseBlock,550,600
BaseBlock,600,700
BaseBlock,600,650
BaseBlock,600,600
BaseBlock,650,700
BaseBlock,650,650
BaseBlock,650,600
BaseBlock,700,700
BaseBlock,700,650
BaseBlock,700,600
BaseBlock,750,700
BaseBlock,750,650
BaseBlock,750,600
BaseBlock,800,700
BaseBlock,800,650
BaseBlock,800,600
BaseBlock,850,700
BaseBlock,850,650
BaseBlock,850,600
BaseBlock,900,700
BaseBlock,900,650
BaseBlock,900,600
BaseBlock,950,700
BaseBlock,950,650
BaseBlock,950,600
BaseBlock,1000,700
BaseBlock,1000,650
BaseBlock,1000,600
BaseBlock,1050,700
BaseBlock,1050,650
BaseBlock,1050,600
BaseBlock,1100,700
BaseBlock,1100,650
BaseBlock,1100,600
BaseBlock,1150,700
BaseBlock,1150,650
BaseBlock,1150,600
BaseBlock,1200,700
BaseBlock,1200,650
BaseBlock,1200,600
BaseBlock,1250,700
BaseBlock,1250,650
BaseBlock,1250,600
BaseBlock,1300,700
BaseBlock,1300,650
BaseBlock,1300,600
BaseBlock,1350,700
BaseBlock,1350,650
BaseBlock,1350,600
BaseBlock,1400,700
BaseBlock,1400,650
BaseBlock,1400,600
BaseBlock,1450,700
BaseBlock,1450,650
BaseBlock,1450,600
BaseBlock,1500,700
BaseBlock,1500,650
BaseBlock,1500,600
BaseBlock,1550,700
BaseBlock,1550,650
BaseBlock,1550,600
BaseBlock,1600,700
BaseBlock,1250,650  
BaseBlock,1250,600  
BaseBlock,1300,700  
BaseBlock,1300,650  
BaseBlock,1300,600  
BaseBlock,1350,700  
BaseBlock,1350,650  
BaseBlock,1350,600  
BaseBlock,1400,700  
BaseBlock,1400,650  
BaseBlock,1400,600  
BaseBlock,1450,700  
BaseBlock,1450,650  
BaseBlock,1450,600  
BaseBlock,1500,700  
BaseBlock,1500,650  
BaseBlock,1500,600  
BaseBlock,1550,700  
BaseBlock,1550,650  
BaseBlock,1550,600  
BaseBlock,1600,700  
BaseBlock,1600,650  
BaseBlock,1600,600  
BaseBlock,1650,700  
BaseBlock,1650,650  
BaseBlock,1650,600  
BaseBlock,1700,700  
BaseBlock,1700,650  
BaseBlock,1700,600  
BaseBlock,1750,700  
BaseBlock,1750,650  
BaseBlock,1750,600  
BaseBlock,1800,700  
BaseBlock,1800,650  
BaseBlock,1800,600  
BaseBlock,1850,700  
BaseBlock,1850,650  
BaseBlock,1850,600  
BaseBlock,1900,700  
BaseBlock,1900,650  
BaseBlock,1900,600  
BaseBlock,1950,700  
BaseBlock,1950,650  
BaseBlock,1950,600  
BaseBlock,2000,700  
BaseBlock,2000,650  
BaseBlock,2000,600  
BaseBlock,2050,700  
BaseBlock,2050,650  
BaseBlock,2050,600  
BaseBlock,2100,700  
BaseBlock,2100,650  
BaseBlock,2100,600  
BaseBlock,2150,700  
BaseBlock,2150,650  
BaseBlock,2150,600  
BaseBlock,2200,700  
BaseBlock,2200,650  
BaseBlock,2200,600  
