ColorPallete,2
MarioPosition,100,50
World,2
-------------------- 1-2 Main
BrickBlock,0,50
BrickBlock,0,100
BrickBlock,0,150
BrickBlock,0,200
BrickBlock,0,250
BrickBlock,0,300
BrickBlock,0,350
BrickBlock,0,400
BrickBlock,0,450
BrickBlock,0,500
BrickBlock,0,550
MysteryBlock,600,400
MysteryBlock,650,400
MysteryBlock,700,400
MysteryBlock,750,400
MysteryBlock,800,400
StairBlock,950,550
StairBlock,1050,550
StairBlock,1050,500
StairBlock,1150,550
StairBlock,1150,500
StairBlock,1150,450
StairBlock,1250,550
StairBlock,1250,500
StairBlock,1250,450
StairBlock,1250,400
StairBlock,1350,550
StairBlock,1350,500
StairBlock,1350,450
StairBlock,1350,400
StairBlock,1450,550
StairBlock,1450,500
StairBlock,1450,450
BrickBlock,1550,350
StairBlock,1650,550
StairBlock,1650,500
StairBlock,1650,450
StairBlock,1750,550
StairBlock,1750,500
BrickBlock,200,50
BrickBlock,250,50
BrickBlock,300,50
BrickBlock,350,50
BrickBlock,400,50
BrickBlock,450,50
BrickBlock,500,50
BrickBlock,550,50
BrickBlock,600,50
BrickBlock,650,50
BrickBlock,700,50
BrickBlock,750,50
BrickBlock,800,50
BrickBlock,850,50
BrickBlock,900,50
BrickBlock,950,50
BrickBlock,1000,50
BrickBlock,1050,50
BrickBlock,1100,50
BrickBlock,1150,50
BrickBlock,1200,50
BrickBlock,1250,50
BrickBlock,1300,50
BrickBlock,1350,50
BrickBlock,1400,50
BrickBlock,1450,50
BrickBlock,1500,50
BrickBlock,1550,50
BrickBlock,1600,50
BrickBlock,1650,50
BrickBlock,1700,50
BrickBlock,1750,50
BrickBlock,1800,50
BrickBlock,1850,50
BrickBlock,1900,50
BrickBlock,1950,50
BrickBlock,2000,50
BrickBlock,2050,50
BrickBlock,2100,50
BrickBlock,2150,50
BrickBlock,2200,50
BrickBlock,2250,50
BrickBlock,2300,50
BrickBlock,2350,50
BrickBlock,2400,50
BrickBlock,2450,50
BrickBlock,2500,50
BrickBlock,2550,50
BrickBlock,2600,50
BrickBlock,2650,50
BrickBlock,2700,50
BrickBlock,2750,50
BrickBlock,2800,50
BrickBlock,2850,50
BrickBlock,2900,50
BrickBlock,2950,50
BrickBlock,3000,50
BrickBlock,3050,50
BrickBlock,3100,50
BrickBlock,3150,50
BrickBlock,3200,50
BrickBlock,3250,50
BrickBlock,3300,50
BrickBlock,3350,50
BrickBlock,3400,50
BrickBlock,3450,50
BrickBlock,3500,50
BrickBlock,3550,50
BrickBlock,3600,50
BrickBlock,3650,50
BrickBlock,3700,50
BrickBlock,3750,50
BrickBlock,3800,50
BrickBlock,3850,50
BrickBlock,3900,50
BrickBlock,3950,50
BrickBlock,4000,50
BrickBlock,4050,50
BrickBlock,4100,50
BrickBlock,4150,50
BrickBlock,4200,50
BrickBlock,4250,50
BrickBlock,4300,50
BrickBlock,4350,50
BrickBlock,4400,50
BrickBlock,4450,50
BrickBlock,4500,50
BrickBlock,4550,50
BrickBlock,4600,50
BrickBlock,4650,50
BrickBlock,4700,50
BrickBlock,4750,50
BrickBlock,4800,50
BrickBlock,4850,50
BrickBlock,4900,50
BrickBlock,4950,50
BrickBlock,5000,50
BrickBlock,5050,50
BrickBlock,5100,50
BrickBlock,5150,50
BrickBlock,5200,50
BrickBlock,5250,50
BrickBlock,5300,50
BrickBlock,5350,50
BrickBlock,5400,50
BrickBlock,5450,50
BrickBlock,5500,50
BrickBlock,5550,50
BrickBlock,5600,50
BrickBlock,5650,50
BrickBlock,5700,50
BrickBlock,5750,50
BrickBlock,5800,50
BrickBlock,5850,50
BrickBlock,5900,50
BrickBlock,5950,50
BrickBlock,6000,50
BrickBlock,6050,50
BrickBlock,6100,50
BrickBlock,6150,50
BrickBlock,6200,50
BrickBlock,6250,50
BrickBlock,6300,50
BrickBlock,6350,50
BrickBlock,6400,50
BrickBlock,6450,50
BrickBlock,6500,50
BrickBlock,6550,50
BrickBlock,6600,50
BrickBlock,6650,50
BrickBlock,6700,50
BrickBlock,6750,50
BrickBlock,6800,50
BrickBlock,6850,50
BrickBlock,6900,50
BrickBlock,6950,50
BrickBlock,7000,50
BrickBlock,7050,50
BrickBlock,7100,50
BrickBlock,7150,50
BrickBlock,7200,50
BrickBlock,7250,50
BrickBlock,7300,50
BrickBlock,7350,50
BrickBlock,7400,50
