ColorPallete,2
MarioPosition,50,0
World,2
-------------------- 1-2 Below Main
BrickBlock,0,50
BrickBlock,0,100
BrickBlock,0,150
BrickBlock,0,200
BrickBlock,0,250
BrickBlock,0,300
BrickBlock,0,350
BrickBlock,0,400
BrickBlock,0,450
BrickBlock,0,500
BrickBlock,0,550
BrickBlock,150,50
BrickBlock,150,100
BrickBlock,150,150
BrickBlock,150,200
BrickBlock,150,50
BrickBlock,150,100
BrickBlock,150,150
BrickBlock,150,200
BrickBlock,200,50
BrickBlock,200,100
BrickBlock,200,150
BrickBlock,200,200
BrickBlock,250,50
BrickBlock,250,100
BrickBlock,250,150
BrickBlock,250,200
BrickBlock,300,50
BrickBlock,300,100
BrickBlock,300,150
BrickBlock,300,200
BrickBlock,350,50
BrickBlock,350,100
BrickBlock,350,150
BrickBlock,350,200
BrickBlock,400,50
BrickBlock,400,100
BrickBlock,400,150
BrickBlock,400,200
BrickBlock,450,50
BrickBlock,450,100
BrickBlock,450,150
BrickBlock,450,200
BrickBlock,500,50
BrickBlock,500,100
BrickBlock,500,150
BrickBlock,500,200
BrickBlock,550,50
BrickBlock,550,100
BrickBlock,550,150
BrickBlock,550,200
BrickBlock,600,50
BrickBlock,600,100
BrickBlock,600,150
BrickBlock,600,200
BrickBlock,650,50
BrickBlock,650,100
BrickBlock,650,150
BrickBlock,650,200
BrickBlock,700,50
BrickBlock,700,100
BrickBlock,700,150
BrickBlock,700,200
BrickBlock,750,50
BrickBlock,750,100
BrickBlock,750,150
BrickBlock,750,200
BrickBlock,800,50
BrickBlock,800,100
BrickBlock,800,150
BrickBlock,800,200
LongPipeDestination,750,200,2,5775,450
Pipe,855,0
BrickBlock,750,250
BrickBlock,800,250
BrickBlock,750,300
BrickBlock,800,300
BrickBlock,750,350
BrickBlock,800,350
BrickBlock,750,400
BrickBlock,800,400
BrickBlock,750,450
BrickBlock,800,450
BrickBlock,200,400
BrickBlock,250,400
BrickBlock,300,400
BrickBlock,350,400
BrickBlock,400,400
BrickBlock,450,400
BrickBlock,500,400
BrickBlock,550,400
BrickBlock,600,400
BrickBlock,650,400
BrickBlock,700,400
BrickBlock,750,400
Coin,250,350
Coin,300,350
Coin,350,350
Coin,400,350
Coin,450,350
Coin,500,350
Coin,550,350
Coin,600,350
Coin,250,550
Coin,300,550
Coin,350,550
Coin,400,550
Coin,450,550
Coin,500,550
Coin,550,550
Coin,600,550
BaseBlock,0,700
BaseBlock,0,650
BaseBlock,0,600
BaseBlock,50,700
BaseBlock,50,650
BaseBlock,50,600
BaseBlock,100,700
BaseBlock,100,650
BaseBlock,100,600
BaseBlock,150,700
BaseBlock,150,650
BaseBlock,150,600
BaseBlock,200,700
BaseBlock,200,650
BaseBlock,200,600
BaseBlock,250,700
BaseBlock,250,650
BaseBlock,250,600
BaseBlock,300,700
BaseBlock,300,650
BaseBlock,300,600
BaseBlock,350,700
BaseBlock,350,650
BaseBlock,350,600
BaseBlock,400,700
BaseBlock,400,650
BaseBlock,400,600
BaseBlock,450,700
BaseBlock,450,650
BaseBlock,450,600
BaseBlock,500,700
BaseBlock,500,650
BaseBlock,500,600
BaseBlock,550,700
BaseBlock,550,650
BaseBlock,550,600
BaseBlock,600,700
BaseBlock,600,650
BaseBlock,600,600
BaseBlock,650,700
BaseBlock,650,650
BaseBlock,650,600
BaseBlock,700,700
BaseBlock,700,650
BaseBlock,700,600
BaseBlock,750,700
BaseBlock,750,650
BaseBlock,750,600
BaseBlock,800,700
BaseBlock,800,650
BaseBlock,800,600
BaseBlock,850,700
BaseBlock,850,650
BaseBlock,850,600
BaseBlock,900,700
BaseBlock,900,650
BaseBlock,900,600
BaseBlock,950,700
BaseBlock,950,650
BaseBlock,950,600
BaseBlock,1000,700
BaseBlock,1000,650
BaseBlock,1000,600
BaseBlock,1050,700
BaseBlock,1050,650
BaseBlock,1050,600
BaseBlock,1100,700
BaseBlock,1100,650
BaseBlock,1100,600
BaseBlock,1150,700
BaseBlock,1150,650
BaseBlock,1150,600
